Team,Year,Conference,Subdivision
Kansas St.,1988, Big Eight Conference,Division I-A
Kent St. (OH),1988, Mid-American Conference,Division I-A
Kentucky,1988, Southeastern Conference,Division I-A
Louisiana St.,1988, Southeastern Conference,Division I-A
Louisiana Tech,1988, Division I-AA Independent,Division I-AA
Louisiana-Lafayette,1988, Division I-A Independent,Division I-A
Louisiana-Monroe,1988, Southland Conference,Division I-AA
Louisville (KY),1988, Division I-A Independent,Division I-A
Marshall (WV),1988, Southern Conference,Division I-AA
Maryland,1988, Atlantic Coast Conference,Division I-A
Massachusetts,1988, Yankee Conference,Division I-AA
Memphis (TN),1988, Division I-A Independent,Division I-A
Miami (FL),1988, Division I-A Independent,Division I-A
Miami (OH),1988, Mid-American Conference,Division I-A
Michigan,1988, Big Ten Conference,Division I-A
Michigan St.,1988, Big Ten Conference,Division I-A
Middle Tennessee St.,1988, Ohio Valley Conference,Division I-AA
Minnesota,1988, Big Ten Conference,Division I-A
Mississippi,1988, Southeastern Conference,Division I-A
Mississippi St.,1988, Southeastern Conference,Division I-A
Missouri,1988, Big Eight Conference,Division I-A
Navy (MD),1988, Division I-A Independent,Division I-A
Nebraska,1988, Big Eight Conference,Division I-A
Nevada,1988, Big Sky Conference,Division I-AA
Nevada-Las Vegas,1988, Big West Conference,Division I-A
New Mexico,1988, Western Athletic Conference,Division I-A
New Mexico St.,1988, Big West Conference,Division I-A
North Carolina,1988, Atlantic Coast Conference,Division I-A
North Carolina St.,1988, Atlantic Coast Conference,Division I-A
North Texas,1988, Southland Conference,Division I-AA
Northern Illinois,1988, Division I-A Independent,Division I-A
Northwestern (IL),1988, Big Ten Conference,Division I-A
Notre Dame (IN),1988, Division I-A Independent,Division I-A
Ohio,1988, Mid-American Conference,Division I-A
Ohio St.,1988, Big Ten Conference,Division I-A
Oklahoma,1988, Big Eight Conference,Division I-A
Oklahoma St.,1988, Big Eight Conference,Division I-A
Oregon,1988, Pacific-12 Conference,Division I-A
Oregon St.,1988, Pacific-12 Conference,Division I-A
Penn St.,1988, Division I-A Independent,Division I-A
Pittsburgh (PA),1988, Division I-A Independent,Division I-A
Purdue (IN),1988, Big Ten Conference,Division I-A
Rice (TX),1988, Southwest Conference,Division I-A
Rutgers (NJ),1988, Division I-A Independent,Division I-A
San Diego St. (CA),1988, Western Athletic Conference,Division I-A
San Jose St. (CA),1988, Big West Conference,Division I-A
South Carolina,1988, Division I-A Independent,Division I-A
Southern California,1988, Pacific-12 Conference,Division I-A
Southern Methodist (TX),1988, Southwest Conference,Division I-A
Southern Mississippi,1988, Division I-A Independent,Division I-A
Stanford (CA),1988, Pacific-12 Conference,Division I-A
Syracuse (NY),1988, Division I-A Independent,Division I-A
Temple (PA),1988, Division I-A Independent,Division I-A
Tennessee,1988, Southeastern Conference,Division I-A
Texas,1988, Southwest Conference,Division I-A
Texas A&M,1988, Southwest Conference,Division I-A
Texas Christian,1988, Southwest Conference,Division I-A
Texas St.,1988, Southland Conference,Division I-AA
Texas Tech,1988, Southwest Conference,Division I-A
Texas-El Paso,1988, Western Athletic Conference,Division I-A
Toledo (OH),1988, Mid-American Conference,Division I-A
Troy (AL),1988, Gulf South Conference,Division II
Tulane (LA),1988, Division I-A Independent,Division I-A
Tulsa (OK),1988, Division I-A Independent,Division I-A
UCLA,1988, Pacific-12 Conference,Division I-A
Utah,1988, Western Athletic Conference,Division I-A
Utah St.,1988, Big West Conference,Division I-A
Vanderbilt (TN),1988, Southeastern Conference,Division I-A
Virginia,1988, Atlantic Coast Conference,Division I-A
Virginia Tech,1988, Division I-A Independent,Division I-A
Wake Forest (NC),1988, Atlantic Coast Conference,Division I-A
Washington,1988, Pacific-12 Conference,Division I-A
Washington St.,1988, Pacific-12 Conference,Division I-A
West Virginia,1988, Division I-A Independent,Division I-A
Western Kentucky,1988, Division I-AA Independent,Division I-AA
Western Michigan,1988, Mid-American Conference,Division I-A
Wisconsin,1988, Big Ten Conference,Division I-A
Wyoming,1988, Western Athletic Conference,Division I-A
Air Force (CO),1989, Western Athletic Conference,Division I-A
Akron (OH),1989, Division I-A Independent,Division I-A
Alabama,1989, Southeastern Conference,Division I-A
Appalachian St. (NC),1989, Southern Conference,Division I-AA
Arizona,1989, Pacific-12 Conference,Division I-A
Arizona St.,1989, Pacific-12 Conference,Division I-A
Arkansas,1989, Southwest Conference,Division I-A
Arkansas St.,1989, Division I-AA Independent,Division I-AA
Army (NY),1989, Division I-A Independent,Division I-A
Auburn (AL),1989, Southeastern Conference,Division I-A
Ball St. (IN),1989, Mid-American Conference,Division I-A
Baylor (TX),1989, Southwest Conference,Division I-A
Boise St. (ID),1989, Big Sky Conference,Division I-AA
Boston College (MA),1989, Division I-A Independent,Division I-A
Bowling Green (OH),1989, Mid-American Conference,Division I-A
Brigham Young (UT),1989, Western Athletic Conference,Division I-A
Buffalo (NY),1989, Division III Independent,Division III
California,1989, Pacific-12 Conference,Division I-A
Central Florida,1989, Division II Independent,Division II
Central Michigan,1989, Mid-American Conference,Division I-A
Cincinnati (OH),1989, Division I-A Independent,Division I-A
Clemson (SC),1989, Atlantic Coast Conference,Division I-A
Colorado,1989, Big Eight Conference,Division I-A
Colorado St.,1989, Western Athletic Conference,Division I-A
Connecticut,1989, Yankee Conference,Division I-AA
Duke (NC),1989, Atlantic Coast Conference,Division I-A
East Carolina (NC),1989, Division I-A Independent,Division I-A
Eastern Michigan,1989, Mid-American Conference,Division I-A
Florida,1989, Southeastern Conference,Division I-A
Florida St.,1989, Division I-A Independent,Division I-A
Fresno St. (CA),1989, Big West Conference,Division I-A
Georgia,1989, Southeastern Conference,Division I-A
Georgia Southern,1989, Division I-AA Independent,Division I-AA
Georgia Tech,1989, Atlantic Coast Conference,Division I-A
Hawaii,1989, Western Athletic Conference,Division I-A
Houston (TX),1989, Southwest Conference,Division I-A
Idaho,1989, Big Sky Conference,Division I-AA
Illinois,1989, Big Ten Conference,Division I-A
Indiana,1989, Big Ten Conference,Division I-A
Iowa,1989, Big Ten Conference,Division I-A
Iowa St.,1989, Big Eight Conference,Division I-A
Kansas,1989, Big Eight Conference,Division I-A
Kansas St.,1989, Big Eight Conference,Division I-A
Kent St. (OH),1989, Mid-American Conference,Division I-A
Kentucky,1989, Southeastern Conference,Division I-A
Louisiana St.,1989, Southeastern Conference,Division I-A
Louisiana Tech,1989, Division I-A Independent,Division I-A
Louisiana-Lafayette,1989, Division I-A Independent,Division I-A
Louisiana-Monroe,1989, Southland Conference,Division I-AA
Louisville (KY),1989, Division I-A Independent,Division I-A
Marshall (WV),1989, Southern Conference,Division I-AA
Maryland,1989, Atlantic Coast Conference,Division I-A
Massachusetts,1989, Yankee Conference,Division I-AA
Memphis (TN),1989, Division I-A Independent,Division I-A
Miami (FL),1989, Division I-A Independent,Division I-A
Miami (OH),1989, Mid-American Conference,Division I-A
Michigan,1989, Big Ten Conference,Division I-A
Michigan St.,1989, Big Ten Conference,Division I-A
Middle Tennessee St.,1989, Ohio Valley Conference,Division I-AA
Minnesota,1989, Big Ten Conference,Division I-A
Mississippi,1989, Southeastern Conference,Division I-A
Mississippi St.,1989, Southeastern Conference,Division I-A
Missouri,1989, Big Eight Conference,Division I-A
Navy (MD),1989, Division I-A Independent,Division I-A
Nebraska,1989, Big Eight Conference,Division I-A
Nevada,1989, Big Sky Conference,Division I-AA
Nevada-Las Vegas,1989, Big West Conference,Division I-A
New Mexico,1989, Western Athletic Conference,Division I-A
New Mexico St.,1989, Big West Conference,Division I-A
North Carolina,1989, Atlantic Coast Conference,Division I-A
North Carolina St.,1989, Atlantic Coast Conference,Division I-A
North Texas,1989, Southland Conference,Division I-AA
Northern Illinois,1989, Division I-A Independent,Division I-A
Northwestern (IL),1989, Big Ten Conference,Division I-A
Notre Dame (IN),1989, Division I-A Independent,Division I-A
Ohio,1989, Mid-American Conference,Division I-A
Ohio St.,1989, Big Ten Conference,Division I-A
Oklahoma,1989, Big Eight Conference,Division I-A
Oklahoma St.,1989, Big Eight Conference,Division I-A
Oregon,1989, Pacific-12 Conference,Division I-A
Oregon St.,1989, Pacific-12 Conference,Division I-A
Penn St.,1989, Division I-A Independent,Division I-A
Pittsburgh (PA),1989, Division I-A Independent,Division I-A
Purdue (IN),1989, Big Ten Conference,Division I-A
Rice (TX),1989, Southwest Conference,Division I-A
Rutgers (NJ),1989, Division I-A Independent,Division I-A
San Diego St. (CA),1989, Western Athletic Conference,Division I-A
San Jose St. (CA),1989, Big West Conference,Division I-A
South Carolina,1989, Division I-A Independent,Division I-A
Southern California,1989, Pacific-12 Conference,Division I-A
Southern Methodist (TX),1989, Southwest Conference,Division I-A
Southern Mississippi,1989, Division I-A Independent,Division I-A
Stanford (CA),1989, Pacific-12 Conference,Division I-A
Syracuse (NY),1989, Division I-A Independent,Division I-A
Temple (PA),1989, Division I-A Independent,Division I-A
Tennessee,1989, Southeastern Conference,Division I-A
Texas,1989, Southwest Conference,Division I-A
Texas A&M,1989, Southwest Conference,Division I-A
Texas Christian,1989, Southwest Conference,Division I-A
Texas St.,1989, Southland Conference,Division I-AA
Texas Tech,1989, Southwest Conference,Division I-A
Texas-El Paso,1989, Western Athletic Conference,Division I-A
Toledo (OH),1989, Mid-American Conference,Division I-A
Troy (AL),1989, Gulf South Conference,Division II
Tulane (LA),1989, Division I-A Independent,Division I-A
Tulsa (OK),1989, Division I-A Independent,Division I-A
UCLA,1989, Pacific-12 Conference,Division I-A
Utah,1989, Western Athletic Conference,Division I-A
Utah St.,1989, Big West Conference,Division I-A
Vanderbilt (TN),1989, Southeastern Conference,Division I-A
Virginia,1989, Atlantic Coast Conference,Division I-A
Virginia Tech,1989, Division I-A Independent,Division I-A
Wake Forest (NC),1989, Atlantic Coast Conference,Division I-A
Washington,1989, Pacific-12 Conference,Division I-A
Washington St.,1989, Pacific-12 Conference,Division I-A
West Virginia,1989, Division I-A Independent,Division I-A
Western Kentucky,1989, Division I-AA Independent,Division I-AA
Western Michigan,1989, Mid-American Conference,Division I-A
Wisconsin,1989, Big Ten Conference,Division I-A
Wyoming,1989, Western Athletic Conference,Division I-A
Air Force (CO),1990, Western Athletic Conference,Division I-A
Akron (OH),1990, Division I-A Independent,Division I-A
Alabama,1990, Southeastern Conference,Division I-A
Appalachian St. (NC),1990, Southern Conference,Division I-AA
Arizona,1990, Pacific-12 Conference,Division I-A
Arizona St.,1990, Pacific-12 Conference,Division I-A
Arkansas,1990, Southwest Conference,Division I-A
Arkansas St.,1990, Division I-AA Independent,Division I-AA
Army (NY),1990, Division I-A Independent,Division I-A
Auburn (AL),1990, Southeastern Conference,Division I-A
Ball St. (IN),1990, Mid-American Conference,Division I-A
Baylor (TX),1990, Southwest Conference,Division I-A
Boise St. (ID),1990, Big Sky Conference,Division I-AA
Boston College (MA),1990, Division I-A Independent,Division I-A
Bowling Green (OH),1990, Mid-American Conference,Division I-A
Brigham Young (UT),1990, Western Athletic Conference,Division I-A
Buffalo (NY),1990, Division III Independent,Division III
California,1990, Pacific-12 Conference,Division I-A
Central Florida,1990, Division I-AA Independent,Division I-AA
Central Michigan,1990, Mid-American Conference,Division I-A
Cincinnati (OH),1990, Division I-A Independent,Division I-A
Clemson (SC),1990, Atlantic Coast Conference,Division I-A
Colorado,1990, Big Eight Conference,Division I-A
Colorado St.,1990, Western Athletic Conference,Division I-A
Connecticut,1990, Yankee Conference,Division I-AA
Duke (NC),1990, Atlantic Coast Conference,Division I-A
East Carolina (NC),1990, Division I-A Independent,Division I-A
Eastern Michigan,1990, Mid-American Conference,Division I-A
Florida,1990, Southeastern Conference,Division I-A
Florida St.,1990, Division I-A Independent,Division I-A
Fresno St. (CA),1990, Big West Conference,Division I-A
Georgia,1990, Southeastern Conference,Division I-A
Georgia Southern,1990, Division I-AA Independent,Division I-AA
Georgia Tech,1990, Atlantic Coast Conference,Division I-A
Hawaii,1990, Western Athletic Conference,Division I-A
Houston (TX),1990, Southwest Conference,Division I-A
Idaho,1990, Big Sky Conference,Division I-AA
Illinois,1990, Big Ten Conference,Division I-A
Indiana,1990, Big Ten Conference,Division I-A
Iowa,1990, Big Ten Conference,Division I-A
Iowa St.,1990, Big Eight Conference,Division I-A
Kansas,1990, Big Eight Conference,Division I-A
Kansas St.,1990, Big Eight Conference,Division I-A
Kent St. (OH),1990, Mid-American Conference,Division I-A
Kentucky,1990, Southeastern Conference,Division I-A
Louisiana St.,1990, Southeastern Conference,Division I-A
Louisiana Tech,1990, Division I-A Independent,Division I-A
Louisiana-Lafayette,1990, Division I-A Independent,Division I-A
Louisiana-Monroe,1990, Southland Conference,Division I-AA
Louisville (KY),1990, Division I-A Independent,Division I-A
Marshall (WV),1990, Southern Conference,Division I-AA
Maryland,1990, Atlantic Coast Conference,Division I-A
Massachusetts,1990, Yankee Conference,Division I-AA
Memphis (TN),1990, Division I-A Independent,Division I-A
Miami (FL),1990, Division I-A Independent,Division I-A
Miami (OH),1990, Mid-American Conference,Division I-A
Michigan,1990, Big Ten Conference,Division I-A
Michigan St.,1990, Big Ten Conference,Division I-A
Middle Tennessee St.,1990, Ohio Valley Conference,Division I-AA
Minnesota,1990, Big Ten Conference,Division I-A
Mississippi,1990, Southeastern Conference,Division I-A
Mississippi St.,1990, Southeastern Conference,Division I-A
Missouri,1990, Big Eight Conference,Division I-A
Navy (MD),1990, Division I-A Independent,Division I-A
Nebraska,1990, Big Eight Conference,Division I-A
Nevada,1990, Big Sky Conference,Division I-AA
Nevada-Las Vegas,1990, Big West Conference,Division I-A
New Mexico,1990, Western Athletic Conference,Division I-A
New Mexico St.,1990, Big West Conference,Division I-A
North Carolina,1990, Atlantic Coast Conference,Division I-A
North Carolina St.,1990, Atlantic Coast Conference,Division I-A
North Texas,1990, Southland Conference,Division I-AA
Northern Illinois,1990, Division I-A Independent,Division I-A
Northwestern (IL),1990, Big Ten Conference,Division I-A
Notre Dame (IN),1990, Division I-A Independent,Division I-A
